GeoArea_FIPS	GeoArea_Name	Economic_Measure_Code	Economic_Measure_Name	Measure_Name	Data_Period_Business_Key	Estimated_Value	Unit_of_Measure_Code
00000	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-05-04	1186965.0	Count
00000	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-05-05	1210669.0	Count
00000	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-05-06	1235174.0	Count
00000	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-05-07	1263668.0	Count
00000	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-05-08	1291329.0	Count
00000	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-05-09	1316167.0	Count
00000	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-05-10	1336478.0	Count
00000	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-05-11	1354096.0	Count
00000	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-05-12	1376388.0	Count
00000	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-05-13	1397520.0	Count
00000	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-05-14	1424474.0	Count
00000	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-05-15	1450700.0	Count
00000	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-05-16	1474351.0	Count
00000	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-05-17	1493350.0	Count
00000	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-05-18	1515177.0	Count
00000	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-05-19	1536129.0	Count
00000	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-05-20	1559003.0	Count
00000	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-05-21	1584826.0	Count
00000	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-05-22	1608710.0	Count
00000	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-05-23	1630912.0	Count
00000	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-05-24	1651004.0	Count
00000	United States	NYTI_NAT_COV03	COVID-19 Confirmed Cases		2020-05-25	1670101.0	Count
